Below or Above,Budget Area,Below Minimum Wage,Wage Correction,Hrly Correction,Hrly Rate Bin Size,Hrly Correction (bin),Hrly Rate (bin),Hrly Rate Correction Bin Size,Hrly Rate,ID,레코드 수,Service Dt,Service Time in Years
Above,Services,Above Minimum Wage,"-$24,050.8",$24.02,$24.00,$24.00,$24.00,$24.00,$24.02,771,1,1979-04-30,36.465753425
Above,Supply Chain,Above Minimum Wage,"-$16,356.2",$21.13,$21.00,$21.00,$21.00,$21.00,$21.13,166,1,1979-08-28,36.142465753
Above,Operations,Above Minimum Wage,"-$25,059.3",$24.39,$24.00,$24.00,$24.00,$24.00,$24.39,193,1,1980-01-07,35.789041096
Above,Services,Above Minimum Wage,"-$18,386.8",$21.89,$21.00,$21.00,$21.00,$21.00,$21.89,280,1,1980-02-15,35.684931507
Below,Facilities,Below Minimum Wage,"$5,344.5",$15.00,$12.00,$15.00,$12.00,$15.00,$13.00,475,1,1981-04-19,34.523287671
Above,Facilities,Above Minimum Wage,"-$20,276.6",$22.60,$22.00,$22.00,$22.00,$22.00,$22.60,674,1,1981-08-10,34.219178082
Above,Services,Above Minimum Wage,"-$28,622.3",$25.73,$25.00,$25.00,$25.00,$25.00,$25.73,902,1,1981-08-22,34.186301370
Above,Finance,Above Minimum Wage,"-$22,982.4",$23.61,$23.00,$23.00,$23.00,$23.00,$23.61,447,1,1982-04-23,33.526027397
Above,Human Resources,Above Minimum Wage,"-$18,551.8",$21.95,$21.00,$21.00,$21.00,$21.00,$21.95,125,1,1982-10-25,33.027397260
Below,Facilities,Below Minimum Wage,"$5,344.5",$15.00,$12.00,$15.00,$12.00,$15.00,$13.00,474,1,1983-04-11,32.572602740
Above,Marketing,Above Minimum Wage,"-$10,396.5",$18.90,$18.00,$18.00,$18.00,$18.00,$18.90,629,1,1983-05-30,32.438356164
Above,Facilities,Above Minimum Wage,"-$12,404.9",$19.65,$19.00,$19.00,$19.00,$19.00,$19.65,830,1,1983-09-05,32.178082192
Above,Supply Chain,Above Minimum Wage,"-$21,653.6",$23.12,$23.00,$23.00,$23.00,$23.00,$23.12,543,1,1984-01-03,31.854794521
Above,Marketing,Above Minimum Wage,"-$52,212.7",$34.57,$34.00,$34.00,$34.00,$34.00,$34.57,243,1,1984-03-06,31.682191781
Above,Marketing,Above Minimum Wage,"-$6,212.5",$17.33,$17.00,$17.00,$17.00,$17.00,$17.33,38,1,1984-11-16,30.997260274
Above,Human Resources,Above Minimum Wage,"-$17,518.7",$21.57,$21.00,$21.00,$21.00,$21.00,$21.57,7,1,1985-04-05,30.616438356
Above,Marketing,Above Minimum Wage,"-$8,469.4",$18.17,$18.00,$18.00,$18.00,$18.00,$18.17,740,1,1985-05-08,30.526027397
Above,Supply Chain,Above Minimum Wage,"-$31,958.1",$26.98,$26.00,$26.00,$26.00,$26.00,$26.98,586,1,1985-06-24,30.4
